ticker,name,group,roe,net_margin,pe,div_yield,earnings_consistency,moat_rating,note
ATCO-A,Atlas Copco,Industrials,28,17,26,1.7,9,4.5,"Compressor and vacuum world leader with a service annuity on the installed base — arguably Sweden's finest business, and priced accordingly."
EPI-A,Epiroc,Industrials,22,17,22,1.9,8,4,"Mining-equipment duopoly with Sandvik; aftermarket is ~2/3 of revenue. Quality clear, price rarely gives a cushion."
SAND,Sandvik,Industrials,15,12,17,2.5,6,3.5,"Mining and machining tools with strong aftermarket, more cyclical than Epiroc — occasionally offered at fair prices in downturns."
VOLV-B,Volvo,Industrials,20,8,11,4.2,5,3.5,"Trucks, construction equipment and a service network money can't quickly replicate. Cheap multiple reflects the cycle — normalize before judging."
ASSA-B,Assa Abloy,Industrials,16,12,20,1.8,8,4.5,Global lock leader; spec-in with architects and switching costs on access systems make a genuinely durable moat.
ALFA,Alfa Laval,Industrials,18,12,21,1.9,7,3.5,"Heat transfer and separation niches with large installed base and service tail; solid, seldom cheap."
HEXA-B,Hexagon,Tech,12,20,18,1.3,6,4,Measurement software and sensors with sticky enterprise customers; governance noise has periodically discounted a quality asset.
EVO,Evolution,Tech,32,55,13,3.8,8,4,Live-casino near-monopoly with staggering margins at a low multiple — the discount prices regulatory risk. Decide if that's in your circle.
HEM,Hemnet,Tech,60,45,38,1,7,5,Sweden's property-listing network effect — the closest thing to a toll bridge on the exchange. Wonderful; the price knows it.
AZA,Avanza,Banks & finance,28,45,19,3.5,8,3.5,Low-cost savings platform with Sweden's most loyal customers; earnings swing with rates and trading activity.
SWED-A,Swedbank,Banks & finance,15,40,8.5,6.8,6,3,Dominant Swedish/Baltic retail bank at a single-digit multiple and near-7% yield; history says buy banks when they're unloved.
SHB-A,Handelsbanken,Banks & finance,12,38,9.5,6.5,7,3,"The most conservative Nordic bank — decades of lower credit losses than peers. Modest growth, dependable capital returns."
SEB-A,SEB,Banks & finance,15,39,9,5.8,6,3,Corporate-banking franchise among Nordic large caps; quality mid-pack between Swedbank's yield and SHB's caution.
EQT,EQT,Banks & finance,14,35,20,2.2,5,4,Private-markets brand with long fee locked-in AUM; earnings lumpy with carried interest and fundraising cycles.
HM-B,H&M,Consumer,25,5.5,17,4.5,5,2.5,"Global brand and scale, but fast fashion has no pricing power and fierce competition — a fair company, occasionally at a wonderful price."
ESSITY-B,Essity,Consumer,17,9,15,3,7,3.5,"Tissue and hygiene brands (Tork, TENA) people buy in every economy; steady compounding at an undemanding multiple."
AAK,AAK,Consumer,17,8,17,1.8,8,3.5,Specialty vegetable fats co-developed into customers' recipes — switching costs hide inside chocolate and infant formula.
THULE,Thule,Consumer,22,14,21,2.9,7,3.5,Premium outdoor-carrier brand with real pricing power in its niche; demand tracks the leisure cycle.
TELIA,Telia,Telecom,8,6,15,5.5,4,2.5,"Yield is the whole story — capital-hungry infrastructure, regulated returns, little growth. Buffett owns toll bridges, not telecoms."
TEL2-B,Tele2,Telecom,20,12,15,5,6,3,Leaner than Telia with better capital discipline and Baltic growth; still a competitive utility at heart.
SAAB-B,Saab,Defence,15,8,28,0.6,6,4,"Sovereign-backed order book stretching a decade — a real moat, but the rearmament premium leaves no margin of safety."
BOL,Boliden,Materials,14,9,11,3.5,4,2,"Well-run miner and smelter, but copper and zinc prices decide earnings — no pricing power means no Buffett moat."
HOLM-B,Holmen,Materials,8,16,18,2.5,6,3.5,"Forest, paperboard and hydro power — the same irreplaceable-asset logic as SCA you already own; consider overlap."
SECU-B,Securitas,Services,12,4,11,3.8,6,2.5,"Guarding is labor arbitrage with thin margins; the tech-security shift may lift quality, but the moat today is shallow."
ABB,ABB,Industrials,22,12,24,1.8,7,4,"Electrification and automation leader riding grid investment and robotics; a large installed base feeds service revenue. Quality improved markedly since the 2010s — the price has noticed."
ADDT-B,Addtech,Industrials,30,9,38,0.9,9,3.5,"Decentralized serial acquirer of niche technical-trading companies with a superb capital-allocation record — Lifco's cousin. Wonderful machine, punishing multiple."
INDU-C,Industrivärden,Investment,9,0,12,2.6,7,3.5,"Holding company owning Volvo, Sandvik, Handelsbanken, Essity, SCA and Ericsson at a NAV discount — note the heavy look-through overlap with what you already own directly."
LIFCO-B,Lifco,Industrials,18,12,33,1,9,4,"Serial acquirer of niche market leaders in dental, demolition tools and systems, run with famous discipline. Decades of compounding — rarely, if ever, offered cheap."
NIBE-B,NIBE,Industrials,10,8,24,1,5,3,"Heat-pump leader with a real long-term electrification tailwind, but the post-2022 inventory bust showed how cyclical structural growth can be. Earnings still rebuilding."
SKF-B,SKF,Industrials,13,8,13,3.9,5,3,"World's largest bearing maker with a sticky aftermarket, facing capable rivals (Schaeffler, Timken) and cyclical end markets. Fair company; the price is at least fair too."
